train,test,shuffled X,fold,cell,iteration
0.3009852056201526,0.3019600520413809,0.14478431335219527,0,ASC,0
0.24533949853515175,0.28650857201211555,0.21355409499274575,1,ASC,0
0.2982156186828425,0.247816974700918,0.17622814959101374,2,ASC,0
0.29387572329313566,0.2929330499996651,0.17669954329615625,3,ASC,0
0.30073664267798084,0.2754384919751936,0.08376267674551352,4,ASC,0
0.24541043878038254,0.24155952491955357,0.1580251899097929,0,ASC,1
0.19423278724074905,0.2610569654082641,0.23257268244566756,1,ASC,1
0.21436032628194213,0.16254140874548326,0.20498448345443157,2,ASC,1
0.2659578868502974,0.1939741305740361,0.11020720752704195,3,ASC,1
0.1961768303531542,0.2280570286627114,0.12605982414084566,4,ASC,1
0.3197002586219909,0.29530225504255925,0.17318866603129232,0,ASC,2
0.3016504113197538,0.31542673908069274,0.14288199677218819,1,ASC,2
0.3251383197421256,0.27490954627480724,0.16322337583393023,2,ASC,2
0.3155320749184879,0.30031780506138217,0.1766043414242912,3,ASC,2
0.31936202042060075,0.3407828998311624,0.22144288949350074,4,ASC,2
0.31099086576953705,0.2876186534322296,0.1038944703250907,0,ASC,3
0.26558414103452216,0.2899091499762084,0.25997008763770035,1,ASC,3
0.2932786342662544,0.2656767235031158,0.16367446627672574,2,ASC,3
0.28060773799539296,0.27469085445199004,0.13050243306947235,3,ASC,3
0.28816289645962556,0.2822302710648259,0.2203689333969551,4,ASC,3
0.2247681535011153,0.1885665162821547,0.2520480070329554,0,ASC,4
0.23357142000745992,0.2651645717229911,0.21448724610991107,1,ASC,4
0.22816037785891985,0.20997334280058827,0.18122726512766887,2,ASC,4
0.24910295030300506,0.21766983110366944,0.06115147978034632,3,ASC,4
0.19342038573325337,0.2046429113622695,0.23132210634247743,4,ASC,4
